13:5:17:1THESSALONICIENS:1:1:249:PAPYRUS30:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
13:5:17:1THESSALONICIENS:1:2:330:VATICANUS-A:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
13:5:17:1THESSALONICIENS:1:2:330:VATICANUS-E:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
13:5:17:1THESSALONICIENS:1:4:1550:STEPHANUS:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
13:5:17:1THESSALONICIENS:1:4:1550:STEPHANUS-E:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
13:5:17:1THESSALONICIENS:1:4:1869:TISCHENDORF:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
13:5:17:1THESSALONICIENS:1:4:1885:WESTCOTT-ET-HORT:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
13:5:17:1THESSALONICIENS:1:4:1885:WESTCOTT-ET-HORT-E:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
13:5:17:1THESSALONICIENS:1:4:1894:SCRIVENER:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
13:5:17:1THESSALONICIENS:1:4:2010:SBL:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
13:5:17:1THESSALONICIENS:1:4:2010:SBL-E:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
13:5:17:1THESSALONICIENS:1:4:2012:NESTLE-ET-ALAND:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
13:5:17:1THESSALONICIENS:1:4:2012:NESTLE-ET-ALAND-E:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
13:5:17:1THESSALONICIENS:1:4:2018:ROBINSON-ET-PIERPONT-E:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
13:5:17:1THESSALONICIENS:1:4:2019:BHP1:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
13:5:17:1THESSALONICIENS:1:4:2019:BHP2:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
13:5:17:1THESSALONICIENS:1:4:2020:KING-JAMES-E:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
13:5:17:1THESSALONICIENS:1:4:2021:SEBASTIEN-D-G:IGNATIUS-EPHESIANS:10.1 Καὶ ὑπὲρ τῶν ἄλλων δὲ ἀνθρώπων ἀδιαλείπτως προσεύχεσθε, ἔστιν γὰρ ἐν αὐτοῖς ἐλπὶς μετανοίας, ἵνα θεοῦ τύχωσιν. ἐπιτρέψατε οὖν αὐτοῖς κἂν ἐκ τῶν ἔργων ὑμῖν μαθητευθῆναι.
20:1:16:JACQUES:1:4:2019:BHP1:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:9:1CORINTHIENS:1:4:1550:STEPHANUS:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:9:1CORINTHIENS:1:4:1550:STEPHANUS-E:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:9:1CORINTHIENS:1:4:1894:SCRIVENER:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:9:1CORINTHIENS:1:4:2018:ROBINSON-ET-PIERPONT-E:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:9:1CORINTHIENS:1:4:2020:KING-JAMES-E:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:9:1CORINTHIENS:1:4:1550:STEPHANUS:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:9:1CORINTHIENS:1:4:1550:STEPHANUS-E:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:9:1CORINTHIENS:1:4:1894:SCRIVENER:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:9:1CORINTHIENS:1:4:2018:ROBINSON-ET-PIERPONT-E:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:9:1CORINTHIENS:1:4:2020:KING-JAMES-E:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:9:1CORINTHIENS:1:4:1550:STEPHANUS:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:9:1CORINTHIENS:1:4:1550:STEPHANUS-E:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:9:1CORINTHIENS:1:4:1894:SCRIVENER:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:9:1CORINTHIENS:1:4:2018:ROBINSON-ET-PIERPONT-E:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:9:1CORINTHIENS:1:4:2020:KING-JAMES-E:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:10:1CORINTHIENS:1:4:1550:STEPHANUS:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:10:1CORINTHIENS:1:4:1550:STEPHANUS-E:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:10:1CORINTHIENS:1:4:1894:SCRIVENER:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:10:1CORINTHIENS:1:4:2018:ROBINSON-ET-PIERPONT-E:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
7:6:10:1CORINTHIENS:1:4:2020:KING-JAMES-E:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
9:5:21:GALATES:1:1:224:PAPYRUS46:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
9:5:21:GALATES:1:2:330:VATICANUS-A:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
9:5:21:GALATES:1:2:330:VATICANUS-B:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
9:5:21:GALATES:1:2:330:VATICANUS-E:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
9:5:21:GALATES:1:2:330:VATICANUS-E*:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
9:5:21:GALATES:1:2:390:ALEXANDRINUS-A:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
9:5:21:GALATES:1:2:390:ALEXANDRINUS-E:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
9:5:21:GALATES:1:2:410:EPHRAEMI-RESCRIPTUS-A:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
9:5:21:GALATES:1:2:410:EPHRAEMI-RESCRIPTUS-E:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
9:5:21:GALATES:1:4:1550:STEPHANUS:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
9:5:21:GALATES:1:4:1550:STEPHANUS-E:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
9:5:21:GALATES:1:4:1869:TISCHENDORF:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
9:5:21:GALATES:1:4:1885:WESTCOTT-ET-HORT:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
9:5:21:GALATES:1:4:1885:WESTCOTT-ET-HORT-E:IGNATIUS-EPHESIANS:16.1 Μὴ πλανᾶσθε, ἀδελφοί μου· οἱ οἰκοφθόροι βασιλείαν θεοῦ οὐ κληρονομήσουσιν.
