5:16:18:ACTES:1:2:330:VATICANUS-A:IGNATIUS-ROMANS:0.1 Ἰγνάτιος, ὁ καὶ Θεοφόρος, τῇ ἠλεημένῃ ἐν μεγαλειότητι πατρὸς ὑψίστου καὶ Ἰησοῦ Χριστοῦ τοῦ μόνου υἱοῦ αὐτοῦ ἐκκλησίᾳ ἠγαπημένῃ καὶ πεφωτισμένῃ ἐν θελήματι τοῦ θελήσαντος τὰ πάντα, ἃ ἔστιν, κατὰ ἀγάπην Ἰησοῦ Χριστοῦ, τοῦ θεοῦ ἡμῶν, ἥτις καὶ προκάθηται ἐν τόπῳ χωρίου Ῥωμαίων, ἀξιόθεος, ἀξιοπρεπής, ἀξιομακάριστος, ἀξιέπαινος, ἀξιεπίτευκτος, ἀξίαγνος καὶ προκαθημένη τῆς ἀγάπης, χριστώνυμος, πατρώνυμος, ἣν καὶ ἀσπάζομαι ἐν ὀνόματι Ἰησοῦ Χριστοῦ, υἱοῦ πατρός· κατὰ σάρκα καὶ πνεῦμα ἡνωμένοις πάσῃ ἐντολῇ αὐτοῦ, πεπληρωμένοις χάριτος θεοῦ ἀδιακρίτως καὶ ἀποδιϋλισμένοις ἀπὸ παντὸς ἀλλοτρίου χρώματος πλεῖστα ἐν Ἰησοῦ Χριστῷ, τῷ θεῷ ἡμῶν, ἀμώμως χαίρειν.
5:16:18:ACTES:1:2:330:VATICANUS-E:IGNATIUS-ROMANS:0.1 Ἰγνάτιος, ὁ καὶ Θεοφόρος, τῇ ἠλεημένῃ ἐν μεγαλειότητι πατρὸς ὑψίστου καὶ Ἰησοῦ Χριστοῦ τοῦ μόνου υἱοῦ αὐτοῦ ἐκκλησίᾳ ἠγαπημένῃ καὶ πεφωτισμένῃ ἐν θελήματι τοῦ θελήσαντος τὰ πάντα, ἃ ἔστιν, κατὰ ἀγάπην Ἰησοῦ Χριστοῦ, τοῦ θεοῦ ἡμῶν, ἥτις καὶ προκάθηται ἐν τόπῳ χωρίου Ῥωμαίων, ἀξιόθεος, ἀξιοπρεπής, ἀξιομακάριστος, ἀξιέπαινος, ἀξιεπίτευκτος, ἀξίαγνος καὶ προκαθημένη τῆς ἀγάπης, χριστώνυμος, πατρώνυμος, ἣν καὶ ἀσπάζομαι ἐν ὀνόματι Ἰησοῦ Χριστοῦ, υἱοῦ πατρός· κατὰ σάρκα καὶ πνεῦμα ἡνωμένοις πάσῃ ἐντολῇ αὐτοῦ, πεπληρωμένοις χάριτος θεοῦ ἀδιακρίτως καὶ ἀποδιϋλισμένοις ἀπὸ παντὸς ἀλλοτρίου χρώματος πλεῖστα ἐν Ἰησοῦ Χριστῷ, τῷ θεῷ ἡμῶν, ἀμώμως χαίρειν.
5:16:18:ACTES:1:2:360:SINAITICUS-A:IGNATIUS-ROMANS:0.1 Ἰγνάτιος, ὁ καὶ Θεοφόρος, τῇ ἠλεημένῃ ἐν μεγαλειότητι πατρὸς ὑψίστου καὶ Ἰησοῦ Χριστοῦ τοῦ μόνου υἱοῦ αὐτοῦ ἐκκλησίᾳ ἠγαπημένῃ καὶ πεφωτισμένῃ ἐν θελήματι τοῦ θελήσαντος τὰ πάντα, ἃ ἔστιν, κατὰ ἀγάπην Ἰησοῦ Χριστοῦ, τοῦ θεοῦ ἡμῶν, ἥτις καὶ προκάθηται ἐν τόπῳ χωρίου Ῥωμαίων, ἀξιόθεος, ἀξιοπρεπής, ἀξιομακάριστος, ἀξιέπαινος, ἀξιεπίτευκτος, ἀξίαγνος καὶ προκαθημένη τῆς ἀγάπης, χριστώνυμος, πατρώνυμος, ἣν καὶ ἀσπάζομαι ἐν ὀνόματι Ἰησοῦ Χριστοῦ, υἱοῦ πατρός· κατὰ σάρκα καὶ πνεῦμα ἡνωμένοις πάσῃ ἐντολῇ αὐτοῦ, πεπληρωμένοις χάριτος θεοῦ ἀδιακρίτως καὶ ἀποδιϋλισμένοις ἀπὸ παντὸς ἀλλοτρίου χρώματος πλεῖστα ἐν Ἰησοῦ Χριστῷ, τῷ θεῷ ἡμῶν, ἀμώμως χαίρειν.
5:16:18:ACTES:1:2:360:SINAITICUS-E:IGNATIUS-ROMANS:0.1 Ἰγνάτιος, ὁ καὶ Θεοφόρος, τῇ ἠλεημένῃ ἐν μεγαλειότητι πατρὸς ὑψίστου καὶ Ἰησοῦ Χριστοῦ τοῦ μόνου υἱοῦ αὐτοῦ ἐκκλησίᾳ ἠγαπημένῃ καὶ πεφωτισμένῃ ἐν θελήματι τοῦ θελήσαντος τὰ πάντα, ἃ ἔστιν, κατὰ ἀγάπην Ἰησοῦ Χριστοῦ, τοῦ θεοῦ ἡμῶν, ἥτις καὶ προκάθηται ἐν τόπῳ χωρίου Ῥωμαίων, ἀξιόθεος, ἀξιοπρεπής, ἀξιομακάριστος, ἀξιέπαινος, ἀξιεπίτευκτος, ἀξίαγνος καὶ προκαθημένη τῆς ἀγάπης, χριστώνυμος, πατρώνυμος, ἣν καὶ ἀσπάζομαι ἐν ὀνόματι Ἰησοῦ Χριστοῦ, υἱοῦ πατρός· κατὰ σάρκα καὶ πνεῦμα ἡνωμένοις πάσῃ ἐντολῇ αὐτοῦ, πεπληρωμένοις χάριτος θεοῦ ἀδιακρίτως καὶ ἀποδιϋλισμένοις ἀπὸ παντὸς ἀλλοτρίου χρώματος πλεῖστα ἐν Ἰησοῦ Χριστῷ, τῷ θεῷ ἡμῶν, ἀμώμως χαίρειν.
5:16:18:ACTES:1:2:390:ALEXANDRINUS-A:IGNATIUS-ROMANS:0.1 Ἰγνάτιος, ὁ καὶ Θεοφόρος, τῇ ἠλεημένῃ ἐν μεγαλειότητι πατρὸς ὑψίστου καὶ Ἰησοῦ Χριστοῦ τοῦ μόνου υἱοῦ αὐτοῦ ἐκκλησίᾳ ἠγαπημένῃ καὶ πεφωτισμένῃ ἐν θελήματι τοῦ θελήσαντος τὰ πάντα, ἃ ἔστιν, κατὰ ἀγάπην Ἰησοῦ Χριστοῦ, τοῦ θεοῦ ἡμῶν, ἥτις καὶ προκάθηται ἐν τόπῳ χωρίου Ῥωμαίων, ἀξιόθεος, ἀξιοπρεπής, ἀξιομακάριστος, ἀξιέπαινος, ἀξιεπίτευκτος, ἀξίαγνος καὶ προκαθημένη τῆς ἀγάπης, χριστώνυμος, πατρώνυμος, ἣν καὶ ἀσπάζομαι ἐν ὀνόματι Ἰησοῦ Χριστοῦ, υἱοῦ πατρός· κατὰ σάρκα καὶ πνεῦμα ἡνωμένοις πάσῃ ἐντολῇ αὐτοῦ, πεπληρωμένοις χάριτος θεοῦ ἀδιακρίτως καὶ ἀποδιϋλισμένοις ἀπὸ παντὸς ἀλλοτρίου χρώματος πλεῖστα ἐν Ἰησοῦ Χριστῷ, τῷ θεῷ ἡμῶν, ἀμώμως χαίρειν.
5:16:18:ACTES:1:2:390:ALEXANDRINUS-E:IGNATIUS-ROMANS:0.1 Ἰγνάτιος, ὁ καὶ Θεοφόρος, τῇ ἠλεημένῃ ἐν μεγαλειότητι πατρὸς ὑψίστου καὶ Ἰησοῦ Χριστοῦ τοῦ μόνου υἱοῦ αὐτοῦ ἐκκλησίᾳ ἠγαπημένῃ καὶ πεφωτισμένῃ ἐν θελήματι τοῦ θελήσαντος τὰ πάντα, ἃ ἔστιν, κατὰ ἀγάπην Ἰησοῦ Χριστοῦ, τοῦ θεοῦ ἡμῶν, ἥτις καὶ προκάθηται ἐν τόπῳ χωρίου Ῥωμαίων, ἀξιόθεος, ἀξιοπρεπής, ἀξιομακάριστος, ἀξιέπαινος, ἀξιεπίτευκτος, ἀξίαγνος καὶ προκαθημένη τῆς ἀγάπης, χριστώνυμος, πατρώνυμος, ἣν καὶ ἀσπάζομαι ἐν ὀνόματι Ἰησοῦ Χριστοῦ, υἱοῦ πατρός· κατὰ σάρκα καὶ πνεῦμα ἡνωμένοις πάσῃ ἐντολῇ αὐτοῦ, πεπληρωμένοις χάριτος θεοῦ ἀδιακρίτως καὶ ἀποδιϋλισμένοις ἀπὸ παντὸς ἀλλοτρίου χρώματος πλεῖστα ἐν Ἰησοῦ Χριστῷ, τῷ θεῷ ἡμῶν, ἀμώμως χαίρειν.
5:16:18:ACTES:1:4:1869:TISCHENDORF:IGNATIUS-ROMANS:0.1 Ἰγνάτιος, ὁ καὶ Θεοφόρος, τῇ ἠλεημένῃ ἐν μεγαλειότητι πατρὸς ὑψίστου καὶ Ἰησοῦ Χριστοῦ τοῦ μόνου υἱοῦ αὐτοῦ ἐκκλησίᾳ ἠγαπημένῃ καὶ πεφωτισμένῃ ἐν θελήματι τοῦ θελήσαντος τὰ πάντα, ἃ ἔστιν, κατὰ ἀγάπην Ἰησοῦ Χριστοῦ, τοῦ θεοῦ ἡμῶν, ἥτις καὶ προκάθηται ἐν τόπῳ χωρίου Ῥωμαίων, ἀξιόθεος, ἀξιοπρεπής, ἀξιομακάριστος, ἀξιέπαινος, ἀξιεπίτευκτος, ἀξίαγνος καὶ προκαθημένη τῆς ἀγάπης, χριστώνυμος, πατρώνυμος, ἣν καὶ ἀσπάζομαι ἐν ὀνόματι Ἰησοῦ Χριστοῦ, υἱοῦ πατρός· κατὰ σάρκα καὶ πνεῦμα ἡνωμένοις πάσῃ ἐντολῇ αὐτοῦ, πεπληρωμένοις χάριτος θεοῦ ἀδιακρίτως καὶ ἀποδιϋλισμένοις ἀπὸ παντὸς ἀλλοτρίου χρώματος πλεῖστα ἐν Ἰησοῦ Χριστῷ, τῷ θεῷ ἡμῶν, ἀμώμως χαίρειν.
5:16:18:ACTES:1:4:1885:WESTCOTT-ET-HORT:IGNATIUS-ROMANS:0.1 Ἰγνάτιος, ὁ καὶ Θεοφόρος, τῇ ἠλεημένῃ ἐν μεγαλειότητι πατρὸς ὑψίστου καὶ Ἰησοῦ Χριστοῦ τοῦ μόνου υἱοῦ αὐτοῦ ἐκκλησίᾳ ἠγαπημένῃ καὶ πεφωτισμένῃ ἐν θελήματι τοῦ θελήσαντος τὰ πάντα, ἃ ἔστιν, κατὰ ἀγάπην Ἰησοῦ Χριστοῦ, τοῦ θεοῦ ἡμῶν, ἥτις καὶ προκάθηται ἐν τόπῳ χωρίου Ῥωμαίων, ἀξιόθεος, ἀξιοπρεπής, ἀξιομακάριστος, ἀξιέπαινος, ἀξιεπίτευκτος, ἀξίαγνος καὶ προκαθημένη τῆς ἀγάπης, χριστώνυμος, πατρώνυμος, ἣν καὶ ἀσπάζομαι ἐν ὀνόματι Ἰησοῦ Χριστοῦ, υἱοῦ πατρός· κατὰ σάρκα καὶ πνεῦμα ἡνωμένοις πάσῃ ἐντολῇ αὐτοῦ, πεπληρωμένοις χάριτος θεοῦ ἀδιακρίτως καὶ ἀποδιϋλισμένοις ἀπὸ παντὸς ἀλλοτρίου χρώματος πλεῖστα ἐν Ἰησοῦ Χριστῷ, τῷ θεῷ ἡμῶν, ἀμώμως χαίρειν.
5:16:18:ACTES:1:4:1885:WESTCOTT-ET-HORT-E:IGNATIUS-ROMANS:0.1 Ἰγνάτιος, ὁ καὶ Θεοφόρος, τῇ ἠλεημένῃ ἐν μεγαλειότητι πατρὸς ὑψίστου καὶ Ἰησοῦ Χριστοῦ τοῦ μόνου υἱοῦ αὐτοῦ ἐκκλησίᾳ ἠγαπημένῃ καὶ πεφωτισμένῃ ἐν θελήματι τοῦ θελήσαντος τὰ πάντα, ἃ ἔστιν, κατὰ ἀγάπην Ἰησοῦ Χριστοῦ, τοῦ θεοῦ ἡμῶν, ἥτις καὶ προκάθηται ἐν τόπῳ χωρίου Ῥωμαίων, ἀξιόθεος, ἀξιοπρεπής, ἀξιομακάριστος, ἀξιέπαινος, ἀξιεπίτευκτος, ἀξίαγνος καὶ προκαθημένη τῆς ἀγάπης, χριστώνυμος, πατρώνυμος, ἣν καὶ ἀσπάζομαι ἐν ὀνόματι Ἰησοῦ Χριστοῦ, υἱοῦ πατρός· κατὰ σάρκα καὶ πνεῦμα ἡνωμένοις πάσῃ ἐντολῇ αὐτοῦ, πεπληρωμένοις χάριτος θεοῦ ἀδιακρίτως καὶ ἀποδιϋλισμένοις ἀπὸ παντὸς ἀλλοτρίου χρώματος πλεῖστα ἐν Ἰησοῦ Χριστῷ, τῷ θεῷ ἡμῶν, ἀμώμως χαίρειν.
5:16:18:ACTES:1:4:2010:SBL:IGNATIUS-ROMANS:0.1 Ἰγνάτιος, ὁ καὶ Θεοφόρος, τῇ ἠλεημένῃ ἐν μεγαλειότητι πατρὸς ὑψίστου καὶ Ἰησοῦ Χριστοῦ τοῦ μόνου υἱοῦ αὐτοῦ ἐκκλησίᾳ ἠγαπημένῃ καὶ πεφωτισμένῃ ἐν θελήματι τοῦ θελήσαντος τὰ πάντα, ἃ ἔστιν, κατὰ ἀγάπην Ἰησοῦ Χριστοῦ, τοῦ θεοῦ ἡμῶν, ἥτις καὶ προκάθηται ἐν τόπῳ χωρίου Ῥωμαίων, ἀξιόθεος, ἀξιοπρεπής, ἀξιομακάριστος, ἀξιέπαινος, ἀξιεπίτευκτος, ἀξίαγνος καὶ προκαθημένη τῆς ἀγάπης, χριστώνυμος, πατρώνυμος, ἣν καὶ ἀσπάζομαι ἐν ὀνόματι Ἰησοῦ Χριστοῦ, υἱοῦ πατρός· κατὰ σάρκα καὶ πνεῦμα ἡνωμένοις πάσῃ ἐντολῇ αὐτοῦ, πεπληρωμένοις χάριτος θεοῦ ἀδιακρίτως καὶ ἀποδιϋλισμένοις ἀπὸ παντὸς ἀλλοτρίου χρώματος πλεῖστα ἐν Ἰησοῦ Χριστῷ, τῷ θεῷ ἡμῶν, ἀμώμως χαίρειν.
5:16:18:ACTES:1:4:2010:SBL-E:IGNATIUS-ROMANS:0.1 Ἰγνάτιος, ὁ καὶ Θεοφόρος, τῇ ἠλεημένῃ ἐν μεγαλειότητι πατρὸς ὑψίστου καὶ Ἰησοῦ Χριστοῦ τοῦ μόνου υἱοῦ αὐτοῦ ἐκκλησίᾳ ἠγαπημένῃ καὶ πεφωτισμένῃ ἐν θελήματι τοῦ θελήσαντος τὰ πάντα, ἃ ἔστιν, κατὰ ἀγάπην Ἰησοῦ Χριστοῦ, τοῦ θεοῦ ἡμῶν, ἥτις καὶ προκάθηται ἐν τόπῳ χωρίου Ῥωμαίων, ἀξιόθεος, ἀξιοπρεπής, ἀξιομακάριστος, ἀξιέπαινος, ἀξιεπίτευκτος, ἀξίαγνος καὶ προκαθημένη τῆς ἀγάπης, χριστώνυμος, πατρώνυμος, ἣν καὶ ἀσπάζομαι ἐν ὀνόματι Ἰησοῦ Χριστοῦ, υἱοῦ πατρός· κατὰ σάρκα καὶ πνεῦμα ἡνωμένοις πάσῃ ἐντολῇ αὐτοῦ, πεπληρωμένοις χάριτος θεοῦ ἀδιακρίτως καὶ ἀποδιϋλισμένοις ἀπὸ παντὸς ἀλλοτρίου χρώματος πλεῖστα ἐν Ἰησοῦ Χριστῷ, τῷ θεῷ ἡμῶν, ἀμώμως χαίρειν.
